Trace_Name,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,Avg_Congested_Cycle
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_1200.txt,0.24564,61219343,249223636,13890027,11055344,2834683,2984578,1977798,1006780,1152000,3395,1148605,0,0,0,0,12
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_8192_2400.txt,0.15237,38467912,252463918,7121610,5443744,1677866,2530853,1529551,1001302,1854170,877178,976992,0,0,0,0,10
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_8192_300.txt,0.235417,29478984,125220063,7161577,5435161,1726416,2555375,1252848,1302527,2244345,1582207,662138,499957,499673,62006,39677,98
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_600.txt,0.234286,20700645,88356397,4731029,3271081,1459948,1579257,578972,1000285,1118932,682811,436121,0,0,0,0,40
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_9600.txt,0.250351,61219343,244533651,13890929,11056268,2834661,2984556,1977776,1006780,1152000,166946,985054,0,0,0,0,1
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_300.txt,0.133178,38467912,288844827,7196999,5519222,1677777,2530764,1529569,1001195,1854064,868884,985180,0,0,0,0,97
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_2400.txt,1.06654,52596276,49315027,7273254,6272723,1000531,1000973,671,1000302,1847486,1843994,3492,854174,853896,66,0,11
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_300.txt,0.409505,98033976,239396570,23888379,21024210,2864169,3801226,2735792,1065434,1610852,1125523,485329,165746,165746,12104,108007,76
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_600.txt,0.19491,29478984,151243956,7007462,5281115,1726347,2555292,1252849,1302443,1893542,166924,1726618,0,0,0,0,45
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_2400.txt,0.710728,52596276,74003393,7324697,6324167,1000530,1000972,671,1000301,1527732,447922,1079810,854173,853895,387571,78763,10
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_4800.txt,0.29538,54612142,184887589,18736031,17392550,1343481,1914957,752025,1162932,1760204,155830,1604374,137977,137858,29631,63850,4
