Trace_Name,Benchmark,Model,Size,Freq,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,LLC_Pref_Late,LLC_Pref_Hit,LLC_Pref_OTHERS,LLC_Pref_FILL,LLC_Pref_DROPPED,LLC_Pref_ACCESS,LLC_Pref_MISS,Avg_Congested_Cycle
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_1200.txt,482.sphinx3-s0.trace.gz,no,2048,1200,0.689273,84756213,122964714,10736842,9466608,1270234,1390820,293183,1097637,1206340,180871,1025469,0,0,0,0,0,0,0,0,0,0,0,14
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_300.txt,623.xalancbmk-s1.trace.xz,pathfinder,2048,300,0.433258,52596276,121397194,7371383,6370853,1000530,1000972,671,1000301,1296723,227016,1069707,974379,974379,188978,80266,321921,24225,358989,271770,0,295995,271770,91
bfs-10.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_9600.txt,bfs-10.trace.gz,pythia,256,9600,0.365453,61219343,167516217,13917201,11082459,2834742,2984637,1977857,1006780,2041264,631959,1409305,972181,972181,624902,258734,63204,5317,20024,883948,0,889265,883948,2
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_300.txt,623.xalancbmk-s1.trace.xz,pathfinder,512,300,0.429046,52596276,122589019,7372750,6372220,1000530,1000972,671,1000301,1290047,206282,1083765,974379,974379,190872,82518,325173,15285,360531,274034,0,289319,274034,92
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_9600.txt,cc-5.trace.gz,no,2048,9600,0.243627,20700647,84968743,4722615,3262671,1459944,1579253,578971,1000282,1118929,682809,436120,0,0,0,0,0,0,0,0,0,0,0,1
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_4800.txt,623.xalancbmk-s1.trace.xz,pythia,2048,4800,0.712133,52596273,73857352,7353808,6353279,1000529,1000971,671,1000300,1486072,412466,1073606,755272,755272,392573,81740,90204,8469,182286,476876,0,485345,476876,4
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_150.txt,482.sphinx3-s0.trace.gz,pythia,256,150,0.29675,84756213,285614597,10680087,9409826,1270261,1390844,293191,1097653,1655573,364764,1290809,921180,921180,344275,88947,404854,14962,68142,434247,0,449209,434247,194
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_2400.txt,605.mcf-s1.trace.xz,no,1024,2400,0.151983,38467912,253105900,7121222,5443357,1677865,2530852,1529550,1001302,1854170,868993,985177,0,0,0,0,0,0,0,0,0,0,0,10
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_9600.txt,605.mcf-s1.trace.xz,pythia,2048,9600,0.157312,38467912,244533348,7075990,5397870,1678120,2531105,1529800,1001305,2364064,1018927,1345137,511249,511249,59645,353802,60,88106,9636,421785,0,509891,421785,1
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_150.txt,450.soplex-s0.trace.gz,no,2048,150,0.0983541,29478984,299723079,7055267,5328882,1726385,2555357,1252844,1302513,1893719,957914,935805,0,0,0,0,0,0,0,0,0,0,0,187
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_300.txt,450.soplex-s0.trace.gz,pathfinder,512,300,0.124982,29478984,235865339,6977141,5250921,1726220,2555025,1252615,1302410,2505483,476280,2029203,916414,916414,203951,256763,169559,150819,135322,461156,0,611975,461156,99
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_150.txt,bfs-10.trace.gz,no,512,150,0.19584,61219343,312599300,13884312,11049624,2834688,2984583,1977804,1006779,1151998,105393,1046605,0,0,0,0,0,0,0,0,0,0,0,143
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_512_300.txt,623.xalancbmk-s1.trace.xz,pythia,512,300,0.417154,52596273,126083667,7403752,6403223,1000529,1000971,671,1000300,1406852,324202,1082650,747683,747683,321895,81412,177956,2178,164242,403947,0,406125,403947,93
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_1200.txt,450.soplex-s0.trace.gz,no,256,1200,0.229928,29478984,128209587,7013089,5286728,1726361,2555299,1252863,1302436,1893525,47895,1845630,0,0,0,0,0,0,0,0,0,0,0,20
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_512_1200.txt,605.mcf-s1.trace.xz,no,512,1200,0.149246,38467912,257748902,7159078,5481298,1677780,2530767,1529463,1001304,1854173,26053,1828120,0,0,0,0,0,0,0,0,0,0,0,18
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_600.txt,482.sphinx3-s0.trace.gz,pathfinder,4096,600,1.39633,84756213,60699129,10985939,9715702,1270237,1390824,293189,1097635,2137440,2086197,51243,941666,941666,10980,7934,6629,901685,14438,29417,0,931102,29417,31
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_1200.txt,cc-5.trace.gz,no,256,1200,0.185487,20700644,111601717,4827973,3368034,1459939,1579248,578983,1000265,1118912,14074,1104838,0,0,0,0,0,0,0,0,0,0,0,17
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_4800.txt,bfs-10.trace.gz,no,2048,4800,0.250324,61219343,244560804,13890987,11056325,2834662,2984557,1977777,1006780,1152000,166946,985054,0,0,0,0,0,0,0,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_9600.txt,450.soplex-s0.trace.gz,pythia,1024,9600,0.322996,29478984,91267234,7058562,5332201,1726361,2555250,1252743,1302507,2503588,1134632,1368956,760799,760799,282464,182363,66644,143878,85450,466087,0,609965,466087,1
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_1200.txt,605.mcf-s1.trace.xz,pathfinder,2048,1200,0.15165,38467912,253661997,7158864,5481077,1677787,2530774,1529470,1001304,2685239,1694522,990717,921683,921683,25494,13195,3405,792036,87553,39030,0,831066,39030,20
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_2400.txt,450.soplex-s0.trace.gz,pathfinder,256,2400,0.279112,29478984,105617031,7009961,5283693,1726268,2555110,1252602,1302508,2546952,394188,2152764,917878,917878,236029,301106,119851,115835,145057,537505,0,653340,537505,10
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_4800.txt,450.soplex-s0.trace.gz,no,1024,4800,0.273009,29478984,107977909,7066872,5340448,1726424,2555374,1252879,1302495,1893604,749546,1144058,0,0,0,0,0,0,0,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_9600.txt,450.soplex-s0.trace.gz,pythia,512,9600,0.300924,29478984,97961623,7018417,5292063,1726354,2555253,1252715,1302538,2493374,497797,1995577,764197,764197,272149,228717,87565,98344,77422,501339,0,599683,501339,1
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_150.txt,cc-5.trace.gz,no,256,150,0.0803678,20700644,257573881,4838638,3378715,1459923,1579232,578961,1000271,1118918,14075,1104843,0,0,0,0,0,0,0,0,0,0,0,166
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_512_2400.txt,605.mcf-s1.trace.xz,no,512,2400,0.151501,38467912,253912384,7121233,5443367,1677866,2530853,1529552,1001301,1854169,26054,1828115,0,0,0,0,0,0,0,0,0,0,0,10
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_4096_150.txt,bfs-10.trace.gz,pathfinder,4096,150,0.202216,61219343,302742539,13889046,11054311,2834735,2984630,1977849,1006781,1879867,664655,1215212,968828,968828,450111,221810,218621,41845,36441,686022,0,727867,686022,176
cc-5.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_300.txt,cc-5.trace.gz,pythia,256,300,0.126407,20700644,163761568,4880641,3420717,1459924,1579233,578967,1000266,1342368,110109,1232259,225398,225398,90862,124989,687,7537,1323,215918,0,223455,215918,94
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_4800.txt,623.xalancbmk-s1.trace.xz,pythia,4096,4800,1.06649,52596276,49317074,7273252,6272721,1000531,1000973,671,1000302,1756893,1753136,3757,756195,756195,90,0,10,752742,3353,3422,0,756164,3422,4
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_1200.txt,473.astar-s1.trace.gz,pathfinder,1024,1200,0.428251,98033976,228917338,23888812,21024644,2864168,3801225,2735796,1065429,2109067,1606262,502805,752232,752232,62107,114227,1096,487049,87753,176564,0,663613,176564,13
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_1024_600.txt,605.mcf-s1.trace.xz,pythia,1024,600,0.143136,38467912,268750804,7192854,5515064,1677790,2530777,1529581,1001196,2191005,833963,1357042,337874,337874,21637,280997,108,30857,4275,306083,0,336940,306083,42
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_1024_4800.txt,482.sphinx3-s0.trace.gz,no,1024,4800,0.673109,84756213,125917611,10766788,9496563,1270225,1390811,293175,1097636,1206339,131947,1074392,0,0,0,0,0,0,0,0,0,0,0,4
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_4800.txt,605.mcf-s1.trace.xz,pathfinder,2048,4800,0.155101,38467912,248019227,7110183,5432111,1678072,2531058,1529753,1001305,2685386,1694606,990780,921836,921836,25539,13255,3204,792075,87763,39138,0,831213,39138,4
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_600.txt,cc-5.trace.gz,pathfinder,1024,600,0.1707,20700645,121269137,4855784,3395834,1459950,1579259,578994,1000265,1995428,541884,1453544,889566,889566,159056,525470,2246,186158,16636,690359,0,876517,690359,43
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_256_1200.txt,623.xalancbmk-s1.trace.xz,pythia,256,1200,0.667334,52596273,78815549,7403446,6402917,1000529,1000971,671,1000300,1469073,383365,1085708,754611,754611,380873,84661,116527,2492,170058,465854,0,468346,465854,19
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_2400.txt,605.mcf-s1.trace.xz,pathfinder,2048,2400,0.153876,38467912,249993424,7123578,5445709,1677869,2530856,1529555,1001301,2685364,1694596,990768,921817,921817,25549,13244,3221,792058,87745,39137,0,831195,39137,10
cc-5.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_150.txt,cc-5.trace.gz,pythia,4096,150,0.3084,20700647,67122802,4701886,3241934,1459952,1579261,578983,1000278,1424550,1214660,209890,316514,316514,96908,17578,10744,187608,3676,118017,0,305625,118017,163
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_4800.txt,473.astar-s1.trace.gz,pathfinder,512,4800,0.365905,98033976,267921647,23888868,21024702,2864166,3801223,2735920,1065303,1966730,737822,1228908,752086,752086,48481,222303,1619,250614,229069,270789,0,521403,270789,4
cc-5.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_300.txt,cc-5.trace.gz,pythia,2048,300,0.218032,20700645,94943076,4783482,3323531,1459951,1579260,578974,1000286,1348897,818258,530639,231228,231228,107062,56409,744,65867,1146,164097,0,229964,164097,91
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_150.txt,bfs-10.trace.gz,pathfinder,1024,150,0.199947,61219343,306178500,13889553,11054820,2834733,2984628,1977847,1006781,1883365,643881,1239484,968828,968828,458425,238374,215186,31415,25428,699950,0,731365,699950,176
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_2400.txt,605.mcf-s1.trace.xz,pythia,2048,2400,0.155763,38467912,246963724,7125088,5447206,1677882,2530869,1529580,1001289,2358916,1016986,1341930,506114,506114,58650,350561,81,87154,9668,417605,0,504759,417605,10
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_512_1200.txt,450.soplex-s0.trace.gz,no,512,1200,0.234188,29478984,125877455,7021700,5295351,1726349,2555289,1252855,1302434,1893530,166871,1726659,0,0,0,0,0,0,0,0,0,0,0,20
bfs-10.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_150.txt,bfs-10.trace.gz,no,4096,150,0.199248,61219343,307251510,13883495,11048799,2834696,2984591,1977811,1006780,1152000,172571,979429,0,0,0,0,0,0,0,0,0,0,0,144
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_2048_600.txt,605.mcf-s1.trace.xz,no,2048,600,0.142186,38467912,270545972,7193866,5516089,1677777,2530764,1529568,1001196,1854065,877067,976998,0,0,0,0,0,0,0,0,0,0,0,44
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_2400.txt,471.omnetpp-s1.trace.gz,pythia,512,2400,0.309707,54612142,176335050,18732693,17389216,1343477,1915382,752452,1162930,2250931,273434,1977497,702116,702116,166996,384299,23192,43231,84398,552572,0,595803,552572,10
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_4096_2400.txt,623.xalancbmk-s1.trace.xz,no,4096,2400,1.06645,52596276,49318992,7273204,6272673,1000531,1000973,671,1000302,1000729,1000304,425,0,0,0,0,0,0,0,0,0,0,0,11
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_256_1200.txt,473.astar-s1.trace.gz,pythia,256,1200,0.344869,98033976,284264295,23885960,21021790,2864170,3801227,2735964,1065263,1732171,270952,1461219,288222,288222,20222,244844,256,20220,2680,266657,0,286877,266657,11
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_150.txt,471.omnetpp-s1.trace.gz,pathfinder,2048,150,0.18369,54612142,297306729,18916807,17573323,1343484,1915200,752233,1162967,2448458,1406616,1041842,939430,939430,93522,322541,40784,341030,141553,452411,0,793441,452411,188
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_4800.txt,482.sphinx3-s0.trace.gz,pathfinder,256,4800,0.908694,84756213,93272580,10746415,9476184,1270231,1390816,293179,1097637,1861825,569865,1291960,939506,939506,519835,90162,207047,44426,78036,611058,0,655484,611058,4
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_2048_300.txt,471.omnetpp-s1.trace.gz,no,2048,300,0.3414,54612142,159965263,19016651,17673166,1343485,1914925,751959,1162966,1654772,1083752,571020,0,0,0,0,0,0,0,0,0,0,0,88
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_4800.txt,450.soplex-s0.trace.gz,pythia,512,4800,0.295331,29478984,99816833,7031120,5304800,1726320,2555169,1252603,1302566,2469174,479792,1989382,751874,751874,255907,223107,82210,95994,94656,479464,0,575458,479464,4
