================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
450.soplex-s0.trace.gz     pathfinder1024  9600    0.3203    27.57%    25.32%    32.49% |   918783  253352  197096  103518  216689  148128
450.soplex-s0.trace.gz     pythia1024      9600    0.3230    37.13%    28.23%    34.05% |   760799  282464  182363   66644  143878   85450
450.soplex-s0.trace.gz     no2048          9600    0.3081     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  9600    0.3626    24.24%    22.26%    33.05% |   919107  222753  140159   87985  322998  145212
450.soplex-s0.trace.gz     pythia2048      9600    0.3580    29.57%    22.22%    32.54% |   751853  222335  132053   71717  227243   98505
450.soplex-s0.trace.gz     no4096          9600    0.3569     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder4096  9600    0.4115    16.67%    15.31%    30.57% |   918791  153182   92667   53963  484917  134062
450.soplex-s0.trace.gz     pythia4096      9600    0.4082    21.80%    16.19%    31.80% |   743369  162044   95803   46813  367705   71004
471.omnetpp-s1.trace.gz    no256           150     0.2625     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   150     0.1837     9.96%     9.34%    43.42% |   939430   93522  322541   40784  341030  141553
471.omnetpp-s1.trace.gz    pythia256       150     0.1277    20.01%    10.37%    20.26% |   518758  103791  284818   45365   25234   59550
471.omnetpp-s1.trace.gz    no512           150     0.1456     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   150     0.1178    12.77%    12.01%    29.36% |   940994  120204  493482   58881  120350  148077
471.omnetpp-s1.trace.gz    pythia512       150     0.1293    19.82%    10.36%    20.61% |   523465  103732  278673   46475   31268   63317
471.omnetpp-s1.trace.gz    no1024          150     0.1536     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  150     0.1837     9.96%     9.34%    43.42% |   939430   93522  322541   40784  341030  141553
471.omnetpp-s1.trace.gz    pythia1024      150     0.1334    20.11%    10.46%    26.80% |   520822  104713  267148   49844   42414   56703
471.omnetpp-s1.trace.gz    no2048          150     0.2625     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  150     0.1837     9.96%     9.34%    43.42% |   939430   93522  322541   40784  341030  141553
471.omnetpp-s1.trace.gz    pythia2048      150     0.1482    19.14%     9.57%    28.09% |   500516   95793  245206   44372   61765   53380
471.omnetpp-s1.trace.gz    no4096          150     0.2625     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  150     0.1837     9.96%     9.34%    43.42% |   939430   93522  322541   40784  341030  141553
471.omnetpp-s1.trace.gz    pythia4096      150     0.1723    16.26%     7.96%    29.22% |   490241   79721  218117   43811   99449   49143
471.omnetpp-s1.trace.gz    no256           300     0.3414     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   300     0.3027    10.34%     9.70%    43.76% |   939256   97095  322442   37009  342679  140031
471.omnetpp-s1.trace.gz    pythia256       300     0.2257    22.34%     9.68%    17.11% |   433884   96936  220029   43786   21279   51854
471.omnetpp-s1.trace.gz    no512           300     0.2349     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   300     0.2122    13.17%    12.38%    29.54% |   941028  123939  493491   54973  121479  147146
471.omnetpp-s1.trace.gz    pythia512       300     0.2280    22.11%     9.92%    17.86% |   448866   99263  220373   44749   26679   57802
471.omnetpp-s1.trace.gz    no1024          300     0.2446     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  300     0.3027    10.34%     9.70%    43.76% |   939256   97095  322442   37009  342679  140031
471.omnetpp-s1.trace.gz    pythia1024      300     0.2346    22.00%     9.58%    23.07% |   436003   95909  208306   39414   35578   56796
471.omnetpp-s1.trace.gz    no2048          300     0.3414     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  300     0.3027    10.34%     9.70%    43.76% |   939256   97095  322442   37009  342679  140031
471.omnetpp-s1.trace.gz    pythia2048      300     0.2564    21.09%     8.65%    24.04% |   410770   86622  190411   36271   53056   44410
471.omnetpp-s1.trace.gz    no4096          300     0.3414     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  300     0.3027    10.34%     9.70%    43.76% |   939256   97095  322442   37009  342679  140031
471.omnetpp-s1.trace.gz    pythia4096      300     0.2880    18.38%     7.90%    26.59% |   430597   79132  181127   32798   91674   45866
471.omnetpp-s1.trace.gz    no256           600     0.3642     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   600     0.3607    11.89%    11.16%    45.17% |   939371  111680  322530   22394  347667  135100
471.omnetpp-s1.trace.gz    pythia256       600     0.2840    24.99%    12.61%    20.83% |   504889  126189  270446   24166   22735   61353
471.omnetpp-s1.trace.gz    no512           600     0.2753     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   600     0.2841    15.52%    14.59%    30.59% |   940934  146037  493447   33279  129036  139135
471.omnetpp-s1.trace.gz    pythia512       600     0.2878    23.88%    13.25%    21.99% |   555292  132595  274761   29978   37604   80354
471.omnetpp-s1.trace.gz    no1024          600     0.2825     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  600     0.3607    11.89%    11.16%    45.17% |   939371  111680  322530   22394  347667  135100
471.omnetpp-s1.trace.gz    pythia1024      600     0.2918    24.41%    12.72%    27.94% |   521525  127306  257416   25690   42502   68611
471.omnetpp-s1.trace.gz    no2048          600     0.3642     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  600     0.3607    11.89%    11.16%    45.17% |   939371  111680  322530   22394  347667  135100
471.omnetpp-s1.trace.gz    pythia2048      600     0.3106    24.36%    12.93%    30.91% |   531577  129484  247348   24203   70533   60009
471.omnetpp-s1.trace.gz    no4096          600     0.3642     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder4096  600     0.3607    11.89%    11.16%    45.17% |   939371  111680  322530   22394  347667  135100
471.omnetpp-s1.trace.gz    pythia4096      600     0.3358    21.15%    11.45%    33.39% |   542060  114634  233525   22575  117467   53859
471.omnetpp-s1.trace.gz    no256           1200    0.3716     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder256   1200    0.3746    12.43%    11.67%    45.66% |   939379  116810  322543   17021  349438  133567
471.omnetpp-s1.trace.gz    pythia256       1200    0.3015    23.67%    14.94%    24.93% |   631973  149601  343351   22611   36935   79475
471.omnetpp-s1.trace.gz    no512           1200    0.2857     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder512   1200    0.3049    16.52%    15.53%    31.04% |   941170  155496  493604   23192  132251  136627
471.omnetpp-s1.trace.gz    pythia512       1200    0.3041    23.73%    15.32%    25.56% |   646499  153385  337904   21600   45969   87641
471.omnetpp-s1.trace.gz    no1024          1200    0.2927     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder1024  1200    0.3746    12.43%    11.67%    45.66% |   939379  116810  322543   17021  349438  133567
471.omnetpp-s1.trace.gz    pythia1024      1200    0.3083    24.38%    15.37%    33.05% |   630926  153823  330741   24311   49773   72278
471.omnetpp-s1.trace.gz    no2048          1200    0.3716     0.00%     0.00%     0.00% |        0       0       0       0       0       0
471.omnetpp-s1.trace.gz    pathfinder2048  1200    0.3746    12.43%    11.67%    45.66% |   939379  116810  322543   17021  349438  133567
471.omnetpp-s1.trace.gz    pythia2048      1200    0.3248    24.33%    15.51%    36.02% |   638192  155283  308980   21122   85694   67113
471.omnetpp-s1.trace.gz    no4096          1200    0.3716     0.00%     0.00%     0.00% |        0       0       0       0       0       0
